lead_time,choice,annotator,updated_at,created_at,image,id,annotation_id
0.953,Food,1,2023-04-12T23:17:13.898011Z,2023-04-12T23:17:13.898011Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1026322.jpg,42,283
1.298,Food,1,2023-04-12T23:37:22.743642Z,2023-04-12T23:37:22.743642Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1029391.jpg,43,530
2.315,Food,1,2023-04-12T23:30:23.440082Z,2023-04-12T23:30:23.440082Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1033828.jpg,44,356
1.183,Food,1,2023-04-12T23:12:36.488867Z,2023-04-12T23:12:36.488867Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1039478.jpg,45,216
1.499,Food,1,2023-04-12T23:02:44.706488Z,2023-04-12T23:02:44.706488Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1041715.jpg,46,46
1.146,Food,1,2023-04-12T23:29:23.456493Z,2023-04-12T23:29:23.456493Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1050509.jpg,47,343
2.997,Food,1,2023-04-12T23:08:32.316100Z,2023-04-12T23:08:32.316100Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1051244.jpg,48,139
1.196,Food,1,2023-04-12T23:15:49.969612Z,2023-04-12T23:15:49.969612Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1054919.jpg,49,241
1.038,Food,1,2023-04-12T23:12:27.090302Z,2023-04-12T23:12:27.090302Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1055979.jpg,50,211
0.876,Food,1,2023-04-12T23:37:10.177421Z,2023-04-12T23:37:10.177421Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1060262.jpg,51,524
1.083,Food,1,2023-04-12T23:16:38.520442Z,2023-04-12T23:16:38.520442Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1060552.jpg,52,263
1.111,No-Food,1,2023-04-12T23:31:42.287357Z,2023-04-12T23:31:42.287357Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1061036.jpg,53,394
2.737,Food,1,2023-04-12T23:37:15.311791Z,2023-04-12T23:37:15.311791Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1064887.jpg,54,526
1.26,No-Food,1,2023-04-12T23:34:42.543726Z,2023-04-12T23:34:42.543726Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1074293.jpg,55,464
1.964,Food,1,2023-04-12T23:02:06.859534Z,2023-04-12T23:02:06.859534Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1080812.jpg,56,33
4.095,Food,1,2023-04-12T23:35:06.097064Z,2023-04-12T23:35:06.097064Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1086470.jpg,57,474
1.161,Food,1,2023-04-12T23:06:45.283584Z,2023-04-12T23:06:45.283584Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1090959.jpg,58,106
1.356,Food,1,2023-04-12T23:31:05.332346Z,2023-04-12T23:31:05.332346Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1108537.jpg,59,375
2.002,No-Food,1,2023-04-12T23:34:36.720333Z,2023-04-12T23:34:36.720333Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1111827.jpg,60,461
1.079,Food,1,2023-04-12T23:11:30.351238Z,2023-04-12T23:11:30.351238Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1112889.jpg,61,190
1.336,No-Food,1,2023-04-12T23:16:54.152069Z,2023-04-12T23:16:54.152069Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1125701.jpg,62,272
0.991,Food,1,2023-04-12T23:37:11.986957Z,2023-04-12T23:37:11.986957Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1142059.jpg,63,525
1.483,No-Food,1,2023-04-12T23:05:33.514897Z,2023-04-12T23:05:33.514897Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1142536.jpg,64,92
1.489,No-Food,1,2023-04-12T23:32:26.999034Z,2023-04-12T23:32:26.999034Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1143878.jpg,65,408
1.792,No-Food,1,2023-04-12T23:07:10.464577Z,2023-04-12T23:07:10.464577Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1149207.jpg,66,116
1.309,No-Food,1,2023-04-12T23:15:29.558287Z,2023-04-12T23:15:29.558287Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1151243.jpg,67,232
1.064,Food,1,2023-04-12T23:30:30.482271Z,2023-04-12T23:30:30.482271Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1157058.jpg,68,360
0.963,Food,1,2023-04-12T23:37:20.932907Z,2023-04-12T23:37:20.932907Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1158956.jpg,69,529
1.193,Food,1,2023-04-12T23:36:49.178228Z,2023-04-12T23:36:49.178228Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1165123.jpg,70,515
1.622,Food,1,2023-04-12T23:06:39.740694Z,2023-04-12T23:06:39.740694Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1165191.jpg,71,103
2.065,Food,1,2023-04-12T23:16:13.278020Z,2023-04-12T23:16:13.278020Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1165476.jpg,72,251
2.582,Food,1,2023-04-12T23:03:01.957911Z,2023-04-12T23:03:01.957911Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1168736.jpg,73,53
1.294,No-Food,1,2023-04-12T23:16:10.476849Z,2023-04-12T23:16:10.476849Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1171061.jpg,74,250
0.94,Food,1,2023-04-12T23:29:05.970317Z,2023-04-12T23:29:05.970317Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1171342.jpg,75,332
1.466,Food,1,2023-04-12T23:04:11.451186Z,2023-04-12T23:04:11.451186Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1180588.jpg,76,58
2.168,Food,1,2023-04-12T23:08:08.283438Z,2023-04-12T23:08:08.283438Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1187368.jpg,77,130
14.592,Food,1,2023-04-12T23:07:44.985236Z,2023-04-12T23:07:44.985236Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1187787.jpg,78,125
1.266,No-Food,1,2023-04-12T23:11:21.338349Z,2023-04-12T23:11:21.337342Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1196274.jpg,79,186
1.512,Food,1,2023-04-12T23:31:16.753624Z,2023-04-12T23:31:16.753624Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1199453.jpg,80,381
1.088,Food,1,2023-04-12T23:17:38.188276Z,2023-04-12T23:17:38.188276Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1202788.jpg,81,297
1.159,Food,1,2023-04-12T23:11:19.612516Z,2023-04-12T23:11:19.612516Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1208161.jpg,82,185
1.218,No-Food,1,2023-04-12T23:36:39.436550Z,2023-04-12T23:36:39.436550Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1214675.jpg,83,510
2.309,No-Food,1,2023-04-12T23:08:11.351043Z,2023-04-12T23:08:11.351043Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1215037.jpg,84,131
1.095,Food,1,2023-04-12T23:31:46.057565Z,2023-04-12T23:31:46.057565Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1219705.jpg,85,396
1.269,Food,1,2023-04-12T23:34:38.471707Z,2023-04-12T23:34:38.471707Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1221779.jpg,86,462
2.096,No-Food,1,2023-04-12T23:35:43.893172Z,2023-04-12T23:35:43.893172Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1222698.jpg,87,483
1.714,Food,1,2023-04-12T23:04:05.596043Z,2023-04-12T23:04:05.596043Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1225721.jpg,88,56
1.368,No-Food,1,2023-04-12T23:33:36.011700Z,2023-04-12T23:33:36.011700Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1228769.jpg,89,432
1.819,Food,1,2023-04-12T23:08:01.274788Z,2023-04-12T23:08:01.274788Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1234415.jpg,90,127
1.582,Food,1,2023-04-12T23:09:08.097743Z,2023-04-12T23:09:08.097743Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1242313.jpg,91,152
2.011,No-Food,1,2023-04-12T23:08:41.844062Z,2023-04-12T23:08:41.844062Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1242998.jpg,92,142
2.321,No-Food,1,2023-04-12T23:32:48.739174Z,2023-04-12T23:32:48.739174Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1247121.jpg,93,414
1.245,No-Food,1,2023-04-12T23:16:27.505947Z,2023-04-12T23:16:27.505947Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1252174.jpg,94,258
1.232,Food,1,2023-04-12T23:05:07.362922Z,2023-04-12T23:05:07.362922Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1253077.jpg,95,80
2.11,No-Food,1,2023-04-12T23:07:17.418478Z,2023-04-12T23:07:17.418478Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1259667.jpg,96,119
1.141,Food,1,2023-04-12T23:29:20.246258Z,2023-04-12T23:29:20.246258Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1267125.jpg,97,341
3.943,Food,1,2023-04-12T23:08:39.373792Z,2023-04-12T23:08:39.373792Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1268439.jpg,98,141
1.14,No-Food,1,2023-04-12T23:36:26.289288Z,2023-04-12T23:36:26.289288Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1268945.jpg,99,503
1.189,Food,1,2023-04-12T23:17:32.556404Z,2023-04-12T23:17:32.556404Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1269997.jpg,100,294
1.055,Food,1,2023-04-12T23:17:52.314484Z,2023-04-12T23:17:52.314484Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1276222.jpg,101,303
1.121,No-Food,1,2023-04-12T23:28:58.907122Z,2023-04-12T23:28:58.907122Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1279260.jpg,102,328
1.109,Food,1,2023-04-12T23:11:17.692902Z,2023-04-12T23:11:17.692902Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1283682.jpg,103,184
1.181,Food,1,2023-04-12T23:36:18.530772Z,2023-04-12T23:36:18.530772Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1285339.jpg,104,499
2.735,No-Food,1,2023-04-12T23:02:50.026456Z,2023-04-12T23:02:50.026456Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1285390.jpg,105,48
1.632,Food,1,2023-04-12T23:02:09.232092Z,2023-04-12T23:02:09.232092Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1285983.jpg,106,34
1.024,Food,1,2023-04-12T23:17:05.569768Z,2023-04-12T23:17:05.569768Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1287283.jpg,107,278
0.957,Food,1,2023-04-12T23:33:41.447225Z,2023-04-12T23:33:41.447225Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1304913.jpg,108,435
1.362,No-Food,1,2023-04-12T23:31:44.174366Z,2023-04-12T23:31:44.174366Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1306110.jpg,109,395
1.174,Food,1,2023-04-12T23:17:48.826215Z,2023-04-12T23:17:48.826215Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1309190.jpg,110,301
4.818,Food,1,2023-04-12T23:04:22.229467Z,2023-04-12T23:04:22.229467Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1312169.jpg,111,61
2.1,Food,1,2023-04-12T23:31:03.511999Z,2023-04-12T23:31:03.511999Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1313256.jpg,112,374
1.186,Food,1,2023-04-12T23:07:12.407977Z,2023-04-12T23:07:12.407977Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1313802.jpg,113,117
1.436,Food,1,2023-04-12T23:30:44.094762Z,2023-04-12T23:30:44.094762Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1316604.jpg,114,366
1.279,No-Food,1,2023-04-12T23:12:30.513521Z,2023-04-12T23:12:30.513521Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1322112.jpg,115,213
1.123,Food,1,2023-04-12T23:12:25.248944Z,2023-04-12T23:12:25.247942Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1337417.jpg,116,210
1.015,No-Food,1,2023-04-12T23:33:25.544100Z,2023-04-12T23:33:25.544100Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1359920.jpg,117,427
5.183,No-Food,1,2023-04-12T23:30:03.815494Z,2023-04-12T23:30:03.815494Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1363315.jpg,118,347
1.066,Food,1,2023-04-12T23:09:14.190042Z,2023-04-12T23:09:14.190042Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1370372.jpg,119,155
1.668,Food,1,2023-04-12T23:30:16.015439Z,2023-04-12T23:30:16.015439Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1376950.jpg,120,353
1.372,No-Food,1,2023-04-12T23:17:09.350295Z,2023-04-12T23:17:09.350295Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1379136.jpg,121,280
1.404,No-Food,1,2023-04-12T23:30:36.955799Z,2023-04-12T23:30:36.955799Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1392281.jpg,122,363
1.192,Food,1,2023-04-12T23:05:37.360610Z,2023-04-12T23:05:37.360610Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1408706.jpg,123,94
1.951,No-Food,1,2023-04-12T23:15:06.491560Z,2023-04-12T23:15:06.491560Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1413058.jpg,124,220
1.551,Food,1,2023-04-12T23:36:51.558828Z,2023-04-12T23:36:51.558828Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1737001.jpg,125,516
5.36,Food,1,2023-04-12T23:11:12.136173Z,2023-04-12T23:11:12.136173Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1825639.jpg,126,181
1.01,No-Food,1,2023-04-12T23:15:25.965697Z,2023-04-12T23:15:25.965697Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1832673.jpg,127,230
0.885,Food,1,2023-04-12T23:33:48.289954Z,2023-04-12T23:33:48.289954Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1869971.jpg,128,439
1.083,Food,1,2023-04-12T23:34:27.653082Z,2023-04-12T23:34:27.653082Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1870871.jpg,129,457
1.238,No-Food,1,2023-04-12T23:30:28.994212Z,2023-04-12T23:30:28.994212Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1871634.jpg,130,359
5.544,No-Food,1,2023-04-12T23:18:05.575105Z,2023-04-12T23:18:05.575105Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1872021.jpg,131,308
1.279,Food,1,2023-04-12T23:31:00.650624Z,2023-04-12T23:31:00.650624Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1874383.jpg,132,373
3.73,No-Food,1,2023-04-12T23:34:14.312816Z,2023-04-12T23:34:14.312816Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1876146.jpg,133,450
1.071,Food,1,2023-04-12T23:31:36.990363Z,2023-04-12T23:31:36.990363Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1877046.jpg,134,391
4.701,No-Food,1,2023-04-12T23:18:38.549106Z,2023-04-12T23:18:38.549106Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1877455.jpg,135,322
1.235,Food,1,2023-04-12T23:30:58.936126Z,2023-04-12T23:30:58.936126Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1880426.jpg,136,372
1.484,No-Food,1,2023-04-12T23:15:35.011957Z,2023-04-12T23:15:35.011957Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1893394.jpg,137,235
1.326,Food,1,2023-04-12T23:05:09.132237Z,2023-04-12T23:05:09.132237Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1899944.jpg,138,81
1.053,Food,1,2023-04-12T23:30:13.587115Z,2023-04-12T23:30:13.587115Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1908289.jpg,139,352
1.147,Food,1,2023-04-12T23:16:52.343150Z,2023-04-12T23:16:52.343150Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1913797.jpg,140,271
1.75,Food,1,2023-04-12T23:04:16.683292Z,2023-04-12T23:04:16.683292Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1918264.jpg,141,60
1.306,Food,1,2023-04-12T23:02:38.973294Z,2023-04-12T23:02:38.973294Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1918793.jpg,142,44
0.867,Food,1,2023-04-12T23:31:40.374536Z,2023-04-12T23:31:40.374536Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1920589.jpg,143,393
1.157,No-Food,1,2023-04-12T23:29:11.980626Z,2023-04-12T23:29:11.980626Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1922509.jpg,144,336
1.011,Food,1,2023-04-12T23:16:40.290372Z,2023-04-12T23:16:40.290372Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1928037.jpg,145,264
3.231,Food,1,2023-04-12T23:35:41.006964Z,2023-04-12T23:35:41.006964Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1941762.jpg,146,482
1.389,Food,1,2023-04-12T23:11:36.847863Z,2023-04-12T23:11:36.847863Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1943515.jpg,147,193
0.971,Food,1,2023-04-12T23:31:35.396489Z,2023-04-12T23:31:35.396489Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1944098.jpg,148,390
1.249,Food,1,2023-04-12T23:04:28.280039Z,2023-04-12T23:04:28.280039Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1946683.jpg,149,64
1.024,Food,1,2023-04-12T23:15:10.032389Z,2023-04-12T23:15:10.032389Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1949137.jpg,150,222
1.177,Food,1,2023-04-12T23:10:06.485085Z,2023-04-12T23:10:06.485085Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1951826.jpg,151,175
4.321,No-Food,1,2023-04-12T23:08:28.515599Z,2023-04-12T23:08:28.515599Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1952772.jpg,152,138
2.975,Food,1,2023-04-12T23:16:33.355403Z,2023-04-12T23:16:33.355403Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1985426.jpg,153,260
1.503,Food,1,2023-04-12T23:15:17.555319Z,2023-04-12T23:15:17.555319Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1991909.jpg,154,226
1.684,Food,1,2023-04-12T23:11:26.669460Z,2023-04-12T23:11:26.669460Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1993528.jpg,155,188
1.444,Food,1,2023-04-12T23:36:13.945854Z,2023-04-12T23:36:13.945854Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C2000191.jpg,156,497
1.837,Food,1,2023-04-12T23:09:10.692641Z,2023-04-12T23:09:10.692641Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C2002614.jpg,157,153
1.321,Food,1,2023-04-12T23:17:04.123754Z,2023-04-12T23:17:04.122764Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C2005768.jpg,158,277
1.576,Food,1,2023-04-12T23:11:05.985787Z,2023-04-12T23:11:05.985787Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C2023233.jpg,159,180
1.133,Food,1,2023-04-12T23:31:13.003564Z,2023-04-12T23:31:13.003564Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C2023864.jpg,160,379
1.179,Food,1,2023-04-12T23:34:07.767396Z,2023-04-12T23:34:07.767396Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C2029564.jpg,161,448
3.248,No-Food,1,2023-04-12T23:09:32.442459Z,2023-04-12T23:09:32.442459Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C2032058.jpg,162,161
1.161,No-Food,1,2023-04-12T23:18:09.307541Z,2023-04-12T23:18:09.307541Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C2037826.jpg,163,310
